OID,Value,Type,Category
1.3.6.1.4.1.674.10892.5.4.1100.30.1.11.1.2,4000,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.12.1.1,2400,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.12.1.2,2400,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.13.1.1,8000,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.13.1.2,8000,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.14.1.1,1300,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.14.1.2,1300,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.16.1.1,E5,OctetString,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.16.1.2,E5,OctetString,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.17.1.1,6,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.17.1.2,6,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.18.1.1,6,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.18.1.2,6,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.19.1.1,12,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.19.1.2,12,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.20.1.1,4,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.20.1.2,4,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.21.1.1,29,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.21.1.2,29,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.22.1.1,9,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.22.1.2,9,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.23.1.1,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,OctetString,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.23.1.2,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,OctetString,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.26.1.1,CPU.Socket.1,OctetString,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.26.1.2,CPU.Socket.2,OctetString,other
1.3.6.1.4.1.674.10892.5.4.1100.50.1.1.1.1,1,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.1.1.2,1,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.1.1.3,1,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.1.1.4,1,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.1.1.5,1,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.1.1.6,1,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.1.1.7,1,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.1.1.8,1,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.2.1.1,1,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.2.1.2,2,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.2.1.3,3,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.2.1.4,4,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.2.1.5,5,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.2.1.6,6,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.2.1.7,7,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.2.1.8,8,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.3.1.1,0,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.3.1.2,0,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.3.1.3,0,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.3.1.4,0,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.3.1.5,0,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.3.1.6,0,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.3.1.7,0,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.3.1.8,0,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.4.1.1,2,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.4.1.2,2,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.4.1.3,2,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.4.1.4,2,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.4.1.5,2,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.4.1.6,2,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.4.1.7,2,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.4.1.8,2,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.5.1.1,3,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.5.1.2,3,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.5.1.3,3,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.5.1.4,3,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.5.1.5,3,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.5.1.6,3,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.5.1.7,3,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.5.1.8,3,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.7.1.1,26,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.7.1.2,26,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.7.1.3,26,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.7.1.4,26,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.7.1.5,26,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.7.1.6,26,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.7.1.7,26,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.7.1.8,26,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.8.1.1,DIMM.Socket.A1,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.8.1.2,DIMM.Socket.A2,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.8.1.3,DIMM.Socket.A3,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.8.1.4,DIMM.Socket.A4,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.8.1.5,DIMM.Socket.B1,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.8.1.6,DIMM.Socket.B2,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.8.1.7,DIMM.Socket.B3,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.8.1.8,DIMM.Socket.B4,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.10.1.1,A,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.10.1.2,A,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.10.1.3,A,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.10.1.4,A,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.10.1.5,B,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.10.1.6,B,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.10.1.7,B,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.10.1.8,B,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.14.1.1,16777216,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.14.1.2,16777216,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.14.1.3,16777216,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.14.1.4,16777216,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.14.1.5,16777216,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.14.1.6,16777216,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.14.1.7,16777216,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.14.1.8,16777216,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.15.1.1,0,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.15.1.2,0,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.15.1.3,0,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.15.1.4,0,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.15.1.5,0,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.15.1.6,0,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.15.1.7,0,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.15.1.8,0,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.21.1.1,Hynix Semiconductor,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.21.1.2,Hynix Semiconductor,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.21.1.3,Hynix Semiconductor,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.21.1.4,Hynix Semiconductor,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.21.1.5,Hynix Semiconductor,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.21.1.6,Hynix Semiconductor,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.21.1.7,Hynix Semiconductor,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.21.1.8,Hynix Semiconductor,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.22.1.1,HMA82GR7MFR8N-UH,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.22.1.2,HMA82GR7MFR8N-UH,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.22.1.3,HMA82GR7MFR8N-UH,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.22.1.4,HMA82GR7MFR8N-UH,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.22.1.5,HMA82GR7MFR8N-UH,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.22.1.6,HMA82GR7MFR8N-UH,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.22.1.7,HMA82GR7MFR8N-UH,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.22.1.8,HMA82GR7MFR8N-UH,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.23.1.1,111677E9,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.23.1.2,111677EC,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.23.1.3,1116776D,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.23.1.4,1116776E,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.23.1.5,111677E8,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.23.1.6,1116784C,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.23.1.7,1116776F,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.23.1.8,11167778,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.26.1.1,DIMM.Socket.A1,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.26.1.2,DIMM.Socket.A2,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.26.1.3,DIMM.Socket.A3,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.26.1.4,DIMM.Socket.A4,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.26.1.5,DIMM.Socket.B1,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.26.1.6,DIMM.Socket.B2,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.26.1.7,DIMM.Socket.B3,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.26.1.8,DIMM.Socket.B4,OctetString,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.27.1.1,1867,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.27.1.2,1867,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.27.1.3,1867,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.27.1.4,1867,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.27.1.5,1867,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.27.1.6,1867,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.27.1.7,1867,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.27.1.8,1867,Integer,memory
1.3.6.1.4.1.674.10892.5.5.1.20.130.1.1.1.1,1,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.1.1.2.1,PERC H730P Mini (Embedded),OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.1.1.7.1,30,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.1.1.8.1,25.3.0.0016,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.1.1.9.1,2048,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.1.1.37.1,3,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.1.1.38.1,3,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.1.1.41.1,--NA--,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.1.1.42.1,Embedded,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.1.1.48.1,30,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.1.1.49.1,30,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.140.1.1.1.1,1,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.140.1.1.2.1,Virtual Disk 1,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.140.1.1.4.1,2,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.140.1.1.6.1,6861312,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.140.1.1.10.1,2,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.140.1.1.11.1,2,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.140.1.1.13.1,4,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.140.1.1.14.1,10,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.140.1.1.20.1,3,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.140.1.1.23.1,0,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.140.1.1.24.1,0,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.140.1.1.25.1,0,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.140.1.1.26.1,3,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.1.1,1,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.1.2,2,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.1.3,3,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.1.4,4,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.1.5,5,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.2.1,Physical Disk 0:1:0,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.2.2,Physical Disk 0:1:1,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.2.3,Physical Disk 0:1:2,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.2.4,Physical Disk 0:1:3,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.2.5,Physical Disk 0:1:4,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.3.1,TOSHIBA,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.3.2,TOSHIBA,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.3.3,SEAGATE,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.3.4,SEAGATE,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.3.5,SEAGATE,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.4.1,2,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.4.2,2,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.4.3,3,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.4.4,3,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.4.5,3,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.6.1,AL13SEB300,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.6.2,AL13SEB300,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.6.3,ST600MM0088,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.6.4,ST600MM0088,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.6.5,ST600MM0088,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.7.1,55H0A0B2FRD6,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.7.2,55H0A0BBFRD6,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.7.3,S41042X3,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.7.4,S4103CPN,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.7.5,S4103CYT,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.8.1,DE11,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.8.2,DE11,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.8.3,TS03,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.8.4,TS03,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.8.5,TS03,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.11.1,285568,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.11.2,285568,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.11.3,571776,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.11.4,571776,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.11.5,571776,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.17.1,0,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.17.2,0,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.17.3,571776,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.17.4,571776,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.17.5,571776,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.19.1,285568,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.19.2,285568,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.19.3,0,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.19.4,0,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.19.5,0,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.21.1,3,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.21.2,3,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.21.3,3,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.21.4,3,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.21.5,3,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.22.1,1,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.22.2,1,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.22.3,1,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.22.4,1,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.22.5,1,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.24.1,3,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.24.2,3,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.24.3,3,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.24.4,3,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.24.5,3,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.27.1,PH0MTV7G7557155HGQV0A06,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.27.2,PH0MTV7G7557155HGQXDA06,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.27.3,CN0K1JY97262254J025ZA00,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.27.4,CN0K1JY97262254J00PAA00,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.27.5,CN0K1JY97262254J0120A00,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.28.1,0x50000396481925DA,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.28.2,0x5000039648192626,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.28.3,0x5000C50089027A0D,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.28.4,0x5000C50088FE09C9,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.28.5,0x5000C50088FC3A95,OctetString,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.29.1,4,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.29.2,4,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.29.3,4,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.29.4,4,Integer,storage
1.3.6.1.4.1.674.10892.5.5.1.20.130.4.1.29.5,4,Integer,storage
1.3.6.1.4.1.674.10892.5.2.1.0,3,Integer,other
1.3.6.1.4.1.674.10892.5.2.2.0,3,Integer,other
1.3.6.1.4.1.674.10892.5.2.3.0,3,Integer,other
1.3.6.1.4.1.674.10892.5.2.4.0,4,Integer,other
1.3.6.1.4.1.674.10892.5.2.5.0,73426,Integer,other
